year,mean_days,burned_ratio,mean_intensity,mean_aerosol,fips,name,n_hospital_beds_2017,n_hospitals_2017,n_active_mds_2017,n_medicare_bene_2017,n_medicare_eligible_2018,p_poverty,n_pop_2018,p65older,p5younger,p_nonwhite,p_white,ed_rate
2015,1.263503992,0.015504949,586.257562,133.7672631,06017,El Dorado,230,2,418,24320,46974,9.522348098017323,190678,21.181782901016373,9.895216018628265,20.661009660264952,79.33899033973505,36.4
2016,1.464332874,0.025921448,627.543569,127.3200331,06017,El Dorado,230,2,418,24320,46974,9.522348098017323,190678,21.181782901016373,9.895216018628265,20.661009660264952,79.33899033973505,35.5
2017,1.367072469,0.017707249,440.863556,141.2044966,06017,El Dorado,230,2,418,24320,46974,9.522348098017323,190678,21.181782901016373,9.895216018628265,20.661009660264952,79.33899033973505,40.5
2018,1.083644952,0.011101077,297.8794529,159.2222038,06017,El Dorado,230,2,418,24320,46974,9.522348098017323,190678,21.181782901016373,9.895216018628265,20.661009660264952,79.33899033973505,34.1
2019,1.919308138,0.01911573,1263.735642,116.7614153,06017,El Dorado,230,2,418,24320,46974,9.522348098017323,190678,21.181782901016373,9.895216018628265,20.661009660264952,79.33899033973505,33.7
2020,1.179691679,0.014975494,810.1544035,200.0225198,06017,El Dorado,230,2,418,24320,46974,9.522348098017323,190678,21.181782901016373,9.895216018628265,20.661009660264952,79.33899033973505,NA
2015,2.139414771,0.060323946,1157.4644,186.2697035,06019,Fresno,1931,10,2074,77222,144367,24.567982977088818,994400,12.280068382944489,15.876508447304907,70.0129726468222,29.9870273531778,77
2016,1.09613246,0.033268412,731.6698674,157.2975706,06019,Fresno,1931,10,2074,77222,144367,24.567982977088818,994400,12.280068382944489,15.876508447304907,70.0129726468222,29.9870273531778,67.4
2017,1.233460373,0.042690067,618.1102262,166.2496292,06019,Fresno,1931,10,2074,77222,144367,24.567982977088818,994400,12.280068382944489,15.876508447304907,70.0129726468222,29.9870273531778,75.4
2018,1.17059198,0.024132564,408.0982576,170.1296609,06019,Fresno,1931,10,2074,77222,144367,24.567982977088818,994400,12.280068382944489,15.876508447304907,70.0129726468222,29.9870273531778,67
2019,1.119441178,0.016740978,250.4786823,142.4362331,06019,Fresno,1931,10,2074,77222,144367,24.567982977088818,994400,12.280068382944489,15.876508447304907,70.0129726468222,29.9870273531778,63.1
2020,2.392753696,0.093966437,1712.765389,268.1202574,06019,Fresno,1931,10,2074,77222,144367,24.567982977088818,994400,12.280068382944489,15.876508447304907,70.0129726468222,29.9870273531778,NA
2015,1.158872318,0.025190614,320.461956,145.0551684,06021,Glenn,15,1,7,5029,5990,19.235423933936072,28047,15.876920882803866,14.596926587513815,48.18340642492958,51.816593575070414,42.6
2016,1.065758434,0.016632221,456.222753,140.6549362,06021,Glenn,15,1,7,5029,5990,19.235423933936072,28047,15.876920882803866,14.596926587513815,48.18340642492958,51.816593575070414,36.3
2017,1.058176675,0.021497508,245.2876665,169.7426065,06021,Glenn,15,1,7,5029,5990,19.235423933936072,28047,15.876920882803866,14.596926587513815,48.18340642492958,51.816593575070414,45.6
2018,2.208770364,0.079117814,1014.368944,255.6669858,06021,Glenn,15,1,7,5029,5990,19.235423933936072,28047,15.876920882803866,14.596926587513815,48.18340642492958,51.816593575070414,35.9
2019,1.38441772,0.028629666,464.7681845,129.9787087,06021,Glenn,15,1,7,5029,5990,19.235423933936072,28047,15.876920882803866,14.596926587513815,48.18340642492958,51.816593575070414,39.6
2020,2.291782995,0.270447204,3134.020917,241.9261552,06021,Glenn,15,1,7,5029,5990,19.235423933936072,28047,15.876920882803866,14.596926587513815,48.18340642492958,51.816593575070414,NA
2015,2.205854724,0.025175446,757.808906,198.1108299,06023,Humboldt,253,5,243,24853,30069,20.095207452798455,136373,17.877439082516332,10.603271908662272,23.336730877813057,76.66326912218693,63.4
2016,1,0.003134094,240.2597788,142.208522,06023,Humboldt,253,5,243,24853,30069,20.095207452798455,136373,17.877439082516332,10.603271908662272,23.336730877813057,76.66326912218693,64.5
2017,1,0.001391183,195.2941176,217.0477838,06023,Humboldt,253,5,243,24853,30069,20.095207452798455,136373,17.877439082516332,10.603271908662272,23.336730877813057,76.66326912218693,67.1
2018,1.377250123,0.004581759,307.6427121,183.7479384,06023,Humboldt,253,5,243,24853,30069,20.095207452798455,136373,17.877439082516332,10.603271908662272,23.336730877813057,76.66326912218693,53.4
2019,1,6.55e-4,91.875,135.4569782,06023,Humboldt,253,5,243,24853,30069,20.095207452798455,136373,17.877439082516332,10.603271908662272,23.336730877813057,76.66326912218693,48
2020,3.450250468,0.028773268,1447.065737,226.2764543,06023,Humboldt,253,5,243,24853,30069,20.095207452798455,136373,17.877439082516332,10.603271908662272,23.336730877813057,76.66326912218693,NA
2015,1.068594486,0.004307382,741.337727,158.8957174,06025,Imperial,268,2,135,23417,32193,22.083903079363346,181827,12.96837103400485,16.23081280557893,89.31511821676649,10.684881783233513,71.2
