year,mean_days,burned_ratio,mean_intensity,mean_aerosol,upd_geoid
2018,1.046634967,0.017962026,287.0488296,172.8197819,06047
2019,1.097325149,0.02065633,186.3777075,149.1936531,06047
2020,1.159965413,0.019754944,381.6506036,229.5788264,06047
2010,1.052631579,0.001499856,798.6315789,129.5054721,06049
2011,1.145797599,0.004872907,491.0808398,143.1529559,06049
2012,1.578582316,0.022137504,1981.310693,164.122511,06049
2013,1.671532847,0.010814752,883.7149635,133.8522904,06049
2014,1.280982629,0.019104049,3288.048394,145.167255,06049
2015,1.193158713,0.015529779,598.494014,160.1578088,06049
2016,1.19047619,0.006630943,479.4424603,141.998827,06049
2017,1.379024678,0.042487254,1248.431197,173.194411,06049
2018,1.715499878,0.026589089,1225.46607,224.7688976,06049
2019,1.05267942,0.00749247,2106.613416,136.1662148,06049
2020,1.387246985,0.011501063,986.6801316,191.8633678,06049
2010,1.142857143,0.002217359,345.9285714,133.4666296,06051
2011,1.058823529,0.001795005,498.7352941,149.4966585,06051
2012,1.028571429,0.003695599,576.9571429,138.6998283,06051
2013,0,0,0,159.4612613,06051
2014,1,5.28e-4,130,141.085534,06051
2015,1.16344542,0.008398222,1686.54297,166.2727399,06051
2016,1.165517241,0.015310337,2328.093103,139.5302097,06051
2017,1.271841593,0.007862826,958.282927,155.4611934,06051
2018,1.037282519,0.008496357,2500.989229,168.7909964,06051
2019,2.432432432,0.007813551,456.8261744,138.1716419,06051
2020,1.574632903,0.020472581,2754.257842,222.2572384,06051
2010,1.13,0.008801942,622.4983333,134.993159,06053
2011,1.007798165,0.011287196,537.9463303,132.1875032,06053
2012,1.025867316,0.006805454,500.7689947,131.0723529,06053
2013,1.103448276,0.010210253,986.6135057,125.1714933,06053
2014,1.06779661,0.005193146,548.2881356,135.7654662,06053
2015,1.139240506,0.006953534,329.139241,130.6113214,06053
2016,2.343978306,0.080231253,1503.604546,175.6214974,06053
2017,1,0.007181004,1295.435541,137.9647878,06053
2018,1.059724564,0.007368779,305.1745831,138.5230689,06053
2019,1.155917727,0.007921057,658.0780242,131.9887498,06053
2020,1.781335416,0.099802975,1676.131735,182.6580678,06053
2010,1,0.003737701,134.5935569,119.9668463,06055
2011,1,0.015142143,562.9722222,119.3420439,06055
2012,1.111111111,0.003785536,73.05555556,117.8520576,06055
2013,1,0.007991687,166.8421053,109.8593634,06055
2014,1.216702719,0.021350752,1601.767074,122.5502188,06055
2015,1.009512066,0.009364046,611.841289,129.6608184,06055
2016,1,0.004689446,130.7221245,122.3941393,06055
2017,1.369799772,0.158992503,2062.055735,155.0997411,06055
2018,1.168212928,0.065071628,904.163553,178.5786881,06055
2019,1.729446064,0.005657685,220.3895773,120.1373966,06055
2020,1.439065218,0.40302348,2461.783006,184.4746973,06055
2010,1,0.001482066,622.1388638,104.4484099,06057
2011,1,0.004995456,181.7054575,115.2066284,06057
2012,1,6.82e-4,105,109.5397097,06057
2013,1,0.001022345,218.3333333,131.9329341,06057
2014,1,0.001363126,157,130.7629614,06057
2015,1.166955517,0.009253221,494.254549,129.2459532,06057
2016,1.600470958,0.001702571,105.0196232,120.6648304,06057
2017,1,0.007837975,223.3043478,135.1723833,06057
2018,1,0.003067034,159.6666667,148.8779303,06057
2019,1,0.003343668,342.7701839,106.1632636,06057
2020,1,0.002044689,153,192.6072554,06057
2010,1,0.001256531,420.9967285,164.7923615,06059
2011,0,0,0,173.2217331,06059
2012,1.325704225,7.78e-4,214.5123239,165.0899017,06059
